Date (2008),City,Country,Venue,Opening acts,Attendance,Revenue
29 September,Bologna,Italy,PalaMalaguti,High Wire Albert Hammond Jr.,Un­known,Un­known
30 September,Assago,Italy,DatchForum,High Wire Albert Hammond Jr.,"11,218 / 11,218","$700,365"
2 October,Rotterdam,Netherlands,Ahoy Rotterdam,High Wire Albert Hammond Jr.,"21,600 / 21,600","$1,355,736"
3 October,Rotterdam,Netherlands,Ahoy Rotterdam,High Wire Albert Hammond Jr.,"21,600 / 21,600","$1,355,736"
4 October,Antwerp,Belgium,Sportpaleis,High Wire Albert Hammond Jr.,"16,774 / 16,774","$949,556"
20 October[m],Ottawa,Canada,Scotiabank Place,Snow Patrol,"12,121 / 15,082","$943,317"
21 October[n],Cleveland,United States,Quicken Loans Arena,Snow Patrol,Un­known,Un­known
26 October,East Rutherford,United States,Izod Center,Snow Patrol,"32,460 / 32,460","$1,382,442"
27 October,East Rutherford,United States,Izod Center,Snow Patrol,"32,460 / 32,460","$1,382,442"
29 October,Boston,United States,TD Banknorth Garden,Snow Patrol,"14,559 / 14,559","$1,256,599"
31 October,"Washington, D.C.",United States,Verizon Center,Snow Patrol,"14,158 / 14,158","$1,188,903"
1 November,Philadelphia,United States,Wachovia Center,Snow Patrol,"16,068 / 16,068","$1,299,252"
3 November[o],Auburn Hills,United States,The Palace of Auburn Hills,Snow Patrol,"13,330 / 13,330","$1,015,289"
5 November,Atlanta,United States,Philips Arena,Snow Patrol,"28,648 / 28,648[p]","$2,266,353[p]"
7 November,Orlando,United States,Amway Arena,Snow Patrol,Un­known,Un­known
9 November,Sunrise,United States,BankAtlantic Center,Snow Patrol,"15,096 / 15,096","$1,258,098"
11 November,Atlanta,United States,Philips Arena,Snow Patrol,[p],[p]
13 November[q],Kansas City,United States,Sprint Center,Pete Yorn,Un­known,Un­known
14 November[r],Saint Paul,United States,Xcel Energy Center,Pete Yorn,"14,922 / 16,010","$1,245,529"
16 November[s],Oklahoma City,United States,Ford Center,Pete Yorn,Un­known,Un­known
18 November,Houston,United States,Toyota Center,Pete Yorn,"13,981 / 13,981","$1,192,576"
19 November,Dallas,United States,American Airlines Center,Pete Yorn,"15,483 / 16,430","$1,308,581"
21 November,Denver,United States,Pepsi Center,Pete Yorn,"11,656 / 11,656","$1,019,790"
22 November,Salt Lake City,United States,EnergySolutions Arena,Pete Yorn,"11,598 / 11,598","$935,607"
25 November,Anaheim,United States,Honda Center,Pete Yorn,"13,649 / 13,649","$1,115,426"
26 November,Glendale,United States,Jobing.com Arena,Pete Yorn,"13,257 / 13,257","$1,010,272"
29 November[t],Sheffield,England,Sheffield Arena,Bat for Lashes Kilians,Un­known,Un­known
1 December,Birmingham,England,National Indoor Arena,Bat for Lashes Kilians,Un­known,Un­known
2 December,Birmingham,England,National Indoor Arena,Bat for Lashes Kilians,Un­known,Un­known
3 December,Birmingham,England,National Indoor Arena,Bat for Lashes Kilians,Un­known,Un­known
6 December,Glasgow,Scotland,Scottish Exhibition Hall 4,White Lies,Un­known,Un­known
7 December[u],Liverpool,England,Echo Arena Liverpool,White Lies,Un­known,Un­known
9 December[v],Glasgow,Scotland,Scottish Exhibition and Conference Centre,White Lies,Un­known,Un­known
11 December,Manchester,England,Manchester Evening News Arena,Eugene Francis Jnr,"30,798 / 31,136","$1,926,622"
12 December,Manchester,England,Manchester Evening News Arena,Eugene Francis Jnr,"30,798 / 31,136","$1,926,622"
14 December,London,England,The O2 Arena,The Domino State,"51,294 / 52,500","$2,967,477"
15 December,London,England,The O2 Arena,Eugene Francis Jnr,"51,294 / 52,500","$2,967,477"
16 December,London,England,The O2 Arena,Eugene Francis Jnr,"51,294 / 52,500","$2,967,477"
19 December,Belfast,Northern Ireland,Odyssey Arena,The Flaming Lips,"8,400 / 8,532","$542,752"
21 December,Dublin,Ireland,O2 Dublin,The Flaming Lips,"16,280 / 16,280","$1,087,926"
22 December,Dublin,Ireland,O2 Dublin,The Flaming Lips,"16,280 / 16,280","$1,087,926"
23 December[w],Belfast,Northern Ireland,Odyssey Centre,The Flaming Lips,Un­known,Un­known
