event_name,date,artist_name,support_act,average_price,tickets_sold,tickets_available,revenue,genre,capacity,venue_name,venue_city,venue_state,venue_country
Wonderful Night Tour,2016-06-19,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Westpoint Outdoor,Exeter,England,England
Wonderful Night Tour,2016-06-25,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Meadowbank Stadium,Edinburgh,Scotland,Scotland
Wonderful Night Tour,2016-06-26,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Blenheim Palace,Woodstock,,England
Wonderful Night Tour,2016-06-30,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Color Line Stadion,Ålesund,Møre og Romsdal,Norway
Wonderful Night Tour,2016-07-01,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Sverresborg Arena,Trondheim,Trondheim Region,Norway
Wonderful Night Tour,2016-07-02,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Sverresborg Arena,Trondheim,Trondheim Region,Norway
Wonderful Night Tour,2016-07-04,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Mindeparken,Aarhus,Central Denmark Region,Denmark
Wonderful Night Tour,2016-07-06,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,River Thames Floating Stage,Henley-on-Thames,England,England
Wonderful Night Tour,2016-07-08,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Parc de Valmy,Argelès-sur-Mer,Occitania,France
Wonderful Night Tour,2016-07-09,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Lac du Bourget,Aix-les-Bains,Savoia,France
Wonderful Night Tour,2016-07-10,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Cathédrale Sainte-Cécile d'Albi,Albi,Calabria,France
Wonderful Night Tour,2016-07-12,Elton John,,,,,300713.0,"glam rock, mellow gold, piano rock, rock",,Amphitheatre of Pompeii,Pompeii,Campania,Italy
Wonderful Night Tour,2016-07-14,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Praia do Cabedelo,Vila Nova de Gaia,Porto,Portugal
Wonderful Night Tour,2016-07-15,Elton John,,,,,374165.0,"glam rock, mellow gold, piano rock, rock",,Piazza Colbert,Barolo,Piedmont,Italy
Wonderful Night Tour,2016-07-16,Elton John,,,,,576943.0,"glam rock, mellow gold, piano rock, rock",,Anfiteatro Camerini,Piazzola sul Brenta,Veneto,Italy
Wonderful Night Tour,2016-09-09,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Antalya Kır Aktivite Alanı,Antalya,Antalya,Turkey
Wonderful Night Tour,2016-09-11,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Hyde Park,London,England,England
Wonderful Night Tour,2016-09-18,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,The Roundhouse,London,England,England
Wonderful Night Tour,2016-09-21,Elton John,,,,,869645.0,"glam rock, mellow gold, piano rock, rock",,"Martin Luther King, Jr. Arena",Savannah,Georgia,United States
Wonderful Night Tour,2016-09-23,Elton John,,,,,1176609.0,"glam rock, mellow gold, piano rock, rock",,Giant Center,Hershey,Pennsylvania,United States
Wonderful Night Tour,2016-09-24,Elton John,,,,,934208.0,"glam rock, mellow gold, piano rock, rock",,Mohegan Sun Arena at Casey Plaza,Wilkes-Barre,Pennsylvania,United States
Wonderful Night Tour,2016-09-27,Elton John,,,,,1036850.0,"glam rock, mellow gold, piano rock, rock",,PPL Center,Allentown,Pennsylvania,United States
Wonderful Night Tour,2016-09-28,Elton John,,,,,1017789.0,"glam rock, mellow gold, piano rock, rock",,Huntington Center,Toledo,Ohio,United States
Wonderful Night Tour,2016-09-29,Elton John,,,,,1126439.0,"glam rock, mellow gold, piano rock, rock",,Budweiser Gardens,London,England,Canada
Wonderful Night Tour,2016-10-05,Elton John,,,,,870543.0,"glam rock, mellow gold, piano rock, rock",,River Center Arena,Baton Rouge,Louisiana,United States
Wonderful Night Tour,2016-10-07,Elton John,,,,,670866.0,"glam rock, mellow gold, piano rock, rock",,State Farm Arena,Hidalgo,Texas,United States
Wonderful Night Tour,2016-10-08,Elton John,,,,,747778.0,"glam rock, mellow gold, piano rock, rock",,American Bank Center Arena,Corpus Christi,Texas,United States
Wonderful Night Tour,2016-11-09,Elton John,,,,,537470.0,"glam rock, mellow gold, piano rock, rock",,Lotto Arena,Merksem,Flanders,Belgium
Wonderful Night Tour,2016-11-10,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Malmö Arena,Malmö,Skåne County,Sweden
Wonderful Night Tour,2016-11-12,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Saab Arena,Linköping,Östergötland County,Sweden
Wonderful Night Tour,2016-11-14,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Siemens Arena,Vilnius,Vilnius County,Lithuania
Wonderful Night Tour,2016-11-15,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Arena Riga,Riga,Riga,Latvia
Wonderful Night Tour,2016-11-18,Elton John,,,,,749994.0,"glam rock, mellow gold, piano rock, rock",,ÖVB Arena,Bremen,Bremen,Germany
Wonderful Night Tour,2016-11-19,Elton John,,,,,537470.0,"glam rock, mellow gold, piano rock, rock",,Lotto Arena,Antwerp,Flanders,Belgium
Wonderful Night Tour,2016-11-22,Elton John,,,,,681588.0,"glam rock, mellow gold, piano rock, rock",,Ziggo Dome,Amsterdam,North Holland,Netherlands
Wonderful Night Tour,2016-11-24,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Wiener Stadthalle,Vienna,Vienna,Austria
Wonderful Night Tour,2016-11-25,Elton John,,,,,967443.0,"glam rock, mellow gold, piano rock, rock",,Olympiahalle,Munich,Bavaria,Germany
Wonderful Night Tour,2016-11-26,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,O2 Arena,Prague,Prague,Czech Republic
Wonderful Night Tour,2016-11-29,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Zénith d'Auvergne,Clermont-Ferrand,Auvergne-Rhône-Alpes,France
Wonderful Night Tour,2016-12-02,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,SSE Arena Belfast,Belfast,Northern Ireland,Northern Ireland
Wonderful Night Tour,2016-12-03,Elton John,,,,,665656.0,"glam rock, mellow gold, piano rock, rock",,Metro Radio Arena,Newcastle,England,England
Wonderful Night Tour,2016-12-05,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Zénith de Rouen,Rouen,Normandy,France
Wonderful Night Tour,2016-12-08,Elton John,,,,,1067597.0,"glam rock, mellow gold, piano rock, rock",,Hallenstadion,Zürich,Zürich,Switzerland
Wonderful Night Tour,2016-12-09,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Zénith Oméga de Toulon,Toulon,Provence-Alpes-Côte d'Azur,France
Wonderful Night Tour,2016-12-11,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,MEO Arena,Lisbon,Lisbon District,Portugal
Wonderful Night Tour,2017-03-04,Elton John,,,,,1152210.0,"glam rock, mellow gold, piano rock, rock",,Matthew Knight Arena,Eugene,Oregon,United States
Wonderful Night Tour,2017-03-05,Elton John,,,,,952863.0,"glam rock, mellow gold, piano rock, rock",,Spokane Veterans Memorial Arena,Spokane,Washington,United States
Wonderful Night Tour,2017-03-07,Elton John,,,,,756658.0,"glam rock, mellow gold, piano rock, rock",,Brick Breeden Fieldhouse,Bozeman,Montana,United States
Wonderful Night Tour,2017-03-08,Elton John,,,,,816605.0,"glam rock, mellow gold, piano rock, rock",,Adams Center,Missoula,Montana,United States
Wonderful Night Tour,2017-03-11,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Save-On-Foods Memorial Centre,Victoria,,Canada
Wonderful Night Tour,2017-03-12,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Save-On-Foods Memorial Centre,Victoria,,Canada
Wonderful Night Tour,2017-03-15,Elton John,,,,,556445.0,"glam rock, mellow gold, piano rock, rock",,Casper Events Center,Casper,Wyoming,United States
Wonderful Night Tour,2017-03-16,Elton John,,,,,1110819.0,"glam rock, mellow gold, piano rock, rock",,Broadmoor World Arena,Colorado Springs,Colorado,United States
Wonderful Night Tour,2017-03-21,Elton John,,,,,984951.0,"glam rock, mellow gold, piano rock, rock",,Tucson Arena,Tucson,Arizona,United States
Wonderful Night Tour,2017-03-22,Elton John,,,,,927988.0,"glam rock, mellow gold, piano rock, rock",,Tingley Coliseum,Albuquerque,New Mexico,United States
Wonderful Night Tour,2017-03-23,Elton John,,,,,1058979.0,"glam rock, mellow gold, piano rock, rock",,Don Haskins Center,El Paso,Texas,United States
Wonderful Night Tour,2017-03-31,Elton John,,,,,1342402.0,"glam rock, mellow gold, piano rock, rock",,Pedreira Paulo Leminski,Curitiba,Paraná,Brazil
Wonderful Night Tour,2017-04-01,Elton John,,,,,1289983.0,"glam rock, mellow gold, piano rock, rock",,Praça da Apoteose,Rio de Janeiro,Rio de Janeiro,Brazil
Wonderful Night Tour,2017-04-04,Elton John,,,,,1813591.0,"glam rock, mellow gold, piano rock, rock",,Anfiteatro do Beira Rio,Porto Alegre,Rio Grande do Sul,Brazil
Wonderful Night Tour,2017-04-06,Elton John,,,,,4139104.0,"glam rock, mellow gold, piano rock, rock",,Allianz Parque,São Paulo,São Paulo,Brazil
Wonderful Night Tour,2017-04-10,Elton John,,,,,1209685.0,"glam rock, mellow gold, piano rock, rock",,Movistar Arena,Santiago,Santiago Metropolitan Region,Chile
Wonderful Night Tour,2017-06-03,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Twickenham Stoop,London,England,England
Wonderful Night Tour,2017-06-04,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,3aaa County Ground,Derby,England,England
Wonderful Night Tour,2017-06-07,Elton John,,,,,815148.0,"glam rock, mellow gold, piano rock, rock",,Genting Arena,Birmingham,England,England
Wonderful Night Tour,2017-06-08,Elton John,,,,,897806.0,"glam rock, mellow gold, piano rock, rock",,First Direct Arena,Leeds,West Yorkshire,England
Wonderful Night Tour,2017-06-10,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Ewood Park,Blackburn,England,England
Wonderful Night Tour,2017-06-11,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,ABAX Stadium,Peterborough,Ontario,England
Wonderful Night Tour,2017-06-13,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,d'Coque,Kirchberg,Luxembourg,Luxembourg
Wonderful Night Tour,2017-06-15,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Mølleparken,Sønderborg,Southern Denmark,Denmark
Wonderful Night Tour,2017-06-17,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Portman Road,Ipswich,Suffolk,England
Wonderful Night Tour,2017-06-18,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Select Security Stadium,Widnes,Cheshire,England
Wonderful Night Tour,2017-06-20,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,The Docklands,Cork,Munster,Ireland
Wonderful Night Tour,2017-06-24,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Excelsior Stadium,Airdrie,Alberta,Scotland
Wonderful Night Tour,2017-06-25,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Zénith de Nantes Métropole,Nantes,Loire-Atlantique,France
Wonderful Night Tour,2017-06-27,Elton John,,,,,789491.0,"glam rock, mellow gold, piano rock, rock",,Lanxess Arena,Cologne,North Rhine-Westphalia,Germany
Wonderful Night Tour,2017-06-29,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Scandic Kristiansand Bystranda,Kristiansand,Agder,Norway
Wonderful Night Tour,2017-06-30,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Hamar Stortorget,Hamar,Innlandet,Norway
Wonderful Night Tour,2017-07-02,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Gröna Lund Tivoli,Stockholm,Stockholm County,Sweden
Wonderful Night Tour,2017-07-05,Elton John,,,,,782937.0,"glam rock, mellow gold, piano rock, rock",,SAP Arena,Mannheim,Baden-Württemberg,Germany
Wonderful Night Tour,2017-07-07,Elton John,,,,,896966.0,"glam rock, mellow gold, piano rock, rock",,Mercedes-Benz Arena,Berlin,Berlin,Germany
Wonderful Night Tour,2017-07-09,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Opera Leśna,Sopot,Pomeranian Voivodeship,Poland
Wonderful Night Tour,2017-07-12,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Dolder Kunsteisbahn,Zürich,Zürich,Switzerland
Wonderful Night Tour,2017-07-14,Elton John,,,,,626700.0,"glam rock, mellow gold, piano rock, rock",,Piazza Sordello,Mantua,Lombardy,Italy
Wonderful Night Tour,2017-07-15,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Wörthersee Stadion,Klagenfurt,Carinthia,Austria
Wonderful Night Tour,2017-07-16,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Burg Clam,Oberösterreich,Upper Austria,Austria
Wonderful Night Tour,2017-07-18,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Gran Canaria Arena,Las Palmas,Canary Islands,Spain
Wonderful Night Tour,2017-07-20,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Nagüeles Quarry Amphitheatre,Marbella,Andalusia,Spain
Wonderful Night Tour,2017-09-22,Elton John,,,,,1788024.0,"glam rock, mellow gold, piano rock, rock",,BB Print Stadium Mackay,Mackay,Queensland,Australia
Wonderful Night Tour,2017-09-24,Elton John,,,,,2458286.0,"glam rock, mellow gold, piano rock, rock",,WIN Stadium,Wollongong,New South Wales,Australia
Wonderful Night Tour,2017-09-27,Elton John,,,,,1618603.0,"glam rock, mellow gold, piano rock, rock",,Derwent Entertainment Centre,Hobart,Tasmania,Australia
Wonderful Night Tour,2017-09-28,Elton John,,,,,1618603.0,"glam rock, mellow gold, piano rock, rock",,Derwent Entertainment Centre,Hobart,Tasmania,Australia
Wonderful Night Tour,2017-09-30,Elton John,,,,,2617682.0,"glam rock, mellow gold, piano rock, rock",,Cazaly's Stadium,Cairns,Queensland,Australia
Wonderful Night Tour,2017-10-01,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Rochford Wines Yarra Valley,Yarra Valley,Victoria,Australia
Wonderful Night Tour,2017-11-10,Elton John,,,,,1113041.0,"glam rock, mellow gold, piano rock, rock",,iWireless Center,Moline,Illinois,United States
Wonderful Night Tour,2017-11-11,Elton John,,,,,1058661.0,"glam rock, mellow gold, piano rock, rock",,Ford Center,Evansville,Indiana,United States
Wonderful Night Tour,2017-11-14,Elton John,,,,,844471.0,"glam rock, mellow gold, piano rock, rock",,Rogers K-Rock Centre,Kingston,Ontario,Canada
Wonderful Night Tour,2017-11-15,Elton John,,,,,856449.0,"glam rock, mellow gold, piano rock, rock",,Meridian Centre,St. Catharines,Ontario,Canada
Wonderful Night Tour,2017-11-17,Elton John,,,,,1000087.0,"glam rock, mellow gold, piano rock, rock",,Cross Insurance Arena,Portland,Oregon,United States
Wonderful Night Tour,2017-11-18,Elton John,,,,,1018613.0,"glam rock, mellow gold, piano rock, rock",,Cross Insurance Center,Bangor,Maine,United States
Wonderful Night Tour,2017-12-01,Elton John,,,,,1951518.0,"glam rock, mellow gold, piano rock, rock",,AccorHotels Arena,Paris,Île-de-France,France
Wonderful Night Tour,2017-12-03,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Palau Sant Jordi,Barcelona,Catalonia,Spain
Wonderful Night Tour,2017-12-05,Elton John,,,,,1014484.0,"glam rock, mellow gold, piano rock, rock",,Barclaycard Arena,Hamburg,Hamburg,Germany
Wonderful Night Tour,2017-12-06,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Grimaldi Forum,Monte Carlo,Monte Carlo,Monaco
Wonderful Night Tour,2017-12-08,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Autism Rocks Amphitheatre,Dubai,Dubai,United Arab Emirates
Wonderful Night Tour,2017-12-10,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Forum de Beyrouth,Beirut,Beirut Governorate,Lebanon
Wonderful Night Tour,2017-12-12,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Zénith de Toulouse,Toulouse,Occitanie,France
Wonderful Night Tour,2017-12-14,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Crocus City Hall,Moscow,Moscow capital region,Russia
Wonderful Night Tour,2017-12-16,Elton John,,,,,764407.0,"glam rock, mellow gold, piano rock, rock",,Rothaus Halle A1,Friedrichshafen,Baden-Württemberg,Germany
Wonderful Night Tour,2018-06-30,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Black Sea Arena,Shekvetili,Guria,Georgia
Wonderful Night Tour,2018-07-01,Elton John,,,,,,"glam rock, mellow gold, piano rock, rock",,Black Sea Arena,Shekvetili,Guria,Georgia
