Date North America[31][32][33],City North America[31][32][33],Country North America[31][32][33],Venue North America[31][32][33],Attendance North America[31][32][33],Revenue North America[31][32][33]
7 January 2020,Sydney,Australia,Qudos Bank Arena,"44,438 / 44,438[k]","$6,235,455[k]"
9 January 2020,Sydney,Australia,Qudos Bank Arena,"44,438 / 44,438[k]","$6,235,455[k]"
11 January 2020,Hunter Valley,Australia,Hope Estate Winery,"38,200 / 38,343","$5,217,200"
12 January 2020,Hunter Valley,Australia,Hope Estate Winery,"38,200 / 38,343","$5,217,200"
14 January 2020,Sydney,Australia,Sydney Super Dome,[l],[m]
16 January 2020,Brisbane,Australia,Brisbane Entertainment Centre,"10,830 / 10,892","$1,568,700"
18 January 2020[j],Mount Cotton,Australia,Sirromet Wines,"26,185 / 26,185","$3,229,690"
19 January 2020[j],Mount Cotton,Australia,Sirromet Wines,"26,185 / 26,185","$3,229,690"
22 January 2020,Bathurst,Australia,Carrington Park,"19,149 / 20,063","$2,330,340"
25 January 2020,Macedon,Australia,Hanging Rock,"40,327 / 40,327","$4,456,150"
26 January 2020,Macedon,Australia,Hanging Rock,"40,327 / 40,327","$4,456,150"
29 January 2020[j],Wahgunyah,Australia,All Saints Estate Winery,"11,175 / 11,175","$1,324,180"
31 January 2020[j],Coldstream,Australia,Rochford Winery Yarra Valley,"24,440 / 24,440","$2,699,520"
1 February 2020[j],Coldstream,Australia,Rochford Winery Yarra Valley,"24,440 / 24,440","$2,699,520"
4 February 2020,Dunedin,New Zealand,Forsyth Barr Stadium,"33,731 / 34,035","$4,117,990"
6 February 2020,Napier,New Zealand,Mission Estate Winery,"52,979 / 52,979","$5,838,600"
15 February 2020[n],Napier,New Zealand,Mission Estate Winery,"52,979 / 52,979","$5,838,600"
16 February 2020[o],Auckland,New Zealand,Mount Smart Stadium,"35,350 / 35,453","$4,825,850"
22 February 2020,Melbourne,Australia,AAMI Park,"29,967 / 30,536","$4,430,850"
25 February 2020,Coffs Harbour,Australia,Coffs Harbour International Stadium,"33,055 / 33,241","$3,992,190"
26 February 2020,Coffs Harbour,Australia,Coffs Harbour International Stadium,"33,055 / 33,241","$3,992,190"
29 February 2020,Townsville,Australia,North Queensland Stadium,"21,535 / 21,817","$2,323,100"
3 March 2020,Sunshine Coast,Australia,Sunshine Coast Stadium,"30,023 / 30,023","$4,363,793"
4 March 2020,Sunshine Coast,Australia,Sunshine Coast Stadium,"30,023 / 30,023","$4,363,793"
7 March 2020,Sydney,Australia,Western Sydney Stadium,"26,596 / 26,596","$4,311,638"
North America[p][46][47][48],North America[p][46][47][48],North America[p][46][47][48],North America[p][46][47][48],North America[p][46][47][48],North America[p][46][47][48]
19 January 2022,New Orleans,United States,Smoothie King Center,"14,454 / 14,454","$1,972,978"
21 January 2022,Houston,United States,Toyota Center,"25,951 / 25,951","$4,243,554"
22 January 2022,Houston,United States,Toyota Center,"25,951 / 25,951","$4,243,554"
29 January 2022,North Little Rock,United States,Simmons Bank Arena,"15,482 / 15,482","$2,476,445"
30 January 2022,Oklahoma City,United States,Paycom Center,"13,393 / 13,393","$1,865,204"
1 February 2022,Kansas City,United States,T-Mobile Center,"13,741 / 13,741","$2,368,483"
4 February 2022,Chicago,United States,United Center,"30,467 / 30,467","$5,436,666"
5 February 2022,Chicago,United States,United Center,"30,467 / 30,467","$5,436,666"
8 February 2022,Detroit,United States,Little Caesars Arena,"28,278 / 28,278","$5,175,499"
9 February 2022,Detroit,United States,Little Caesars Arena,"28,278 / 28,278","$5,175,499"
22 February 2022,New York City,United States,Madison Square Garden,"29,893 / 29,893","$6,860,968"
23 February 2022,New York City,United States,Madison Square Garden,"29,893 / 29,893","$6,860,968"
25 February 2022,Newark,United States,Prudential Center,"13,889 / 13,889","$2,674,238"
27 February 2022,Hollywood,United States,Hard Rock Live,"6,519 / 6,519","$2,991,322"
1 March 2022,Brooklyn,United States,Barclays Center,"29,365 / 29,365","$4,907,543"
2 March 2022,Brooklyn,United States,Barclays Center,"29,365 / 29,365","$4,907,543"
5 March 2022,Uniondale,United States,Nassau Coliseum,"24,428 / 24,428","$4,358,411"
6 March 2022,Uniondale,United States,Nassau Coliseum,"24,428 / 24,428","$4,358,411"
10 March 2022[q],Dallas,United States,American Airlines Center,"28,661 / 28,661","$5,693,417"
11 March 2022[r],Dallas,United States,American Airlines Center,"28,661 / 28,661","$5,693,417"
19 March 2022,Fargo,United States,Fargodome,"20,896 / 20,896","$3,135,020"
22 March 2022,Saint Paul,United States,Xcel Energy Center,"30,517 / 30,517","$5,696,798"
23 March 2022,Saint Paul,United States,Xcel Energy Center,"30,517 / 30,517","$5,696,798"
26 March 2022,Des Moines,United States,Wells Fargo Arena,"12,866 / 12,866","$1,942,673"
27 March 2022,Lincoln,United States,Pinnacle Bank Arena,"13,143 / 13,143","$2,147,508"
30 March 2022,St. Louis,United States,Enterprise Center,"13,801 / 13,801","$2,312,462"
1 April 2022[s],Indianapolis,United States,Gainbridge Fieldhouse,"14,789 / 14,789","$2,312,462"
2 April 2022,Milwaukee,United States,Fiserv Forum,"12,714 / 12,714","$1,825,203"
5 April 2022,Grand Rapids,United States,Van Andel Arena,"11,939 / 11,939","$1,889,981"
8 April 2022,Knoxville,United States,Thompson–Boling Arena,"15,842 / 15,842","$2,619,600"
9 April 2022,Lexington,United States,Rupp Arena,"15,974 / 15,974","$2,338,510"
12 April 2022,Columbus,United States,Schottenstein Center,"14,382 / 14,382","$2,289,637"
13 April 2022,Hershey,United States,Giant Center,"14,488 / 14,488","$2,481,655"
16 April 2022,Louisville,United States,KFC Yum! Center,"17,496 / 17,496","$2,222,386"
19 April 2022,Greensboro,United States,Greensboro Coliseum,"15,635 / 15,635","$2,592,331"
20 April 2022,Columbia,United States,Colonial Life Arena,"13,400 / 13,400","$1,876,370"
23 April 2022,Jacksonville,United States,VyStar Veterans Memorial Arena,"12,599 / 12,599","$2,283,615"
24 April 2022,Tampa,United States,Amalie Arena,"14,774 / 14,774","$2,210,391"
27 April 2022,Orlando,United States,Amway Center,"13,555 / 13,555","$1,957,787"
28 April 2022,Miami,United States,FTX Arena,"14,230 / 14,230","$2,991,909"
Europe,Europe,Europe,Europe,Europe,Europe
21 May 2022,Oslo,Norway,Telenor Arena,"38,989 / 38,989","$3,638,883"
22 May 2022,Oslo,Norway,Telenor Arena,"38,989 / 38,989","$3,638,883"
27 May 2022,Frankfurt,Germany,Deutsche Bank Park,"32,693 / 32,693","$4,041,393"
29 May 2022,Leipzig,Germany,Red Bull Arena,"30,781 / 30,781","$3,705,765"
1 June 2022,Bern,Switzerland,Stadion Wankdorf,"19,936 / 19,936","$4,023,776"
4 June 2022,Milan,Italy,San Siro,"48,885 / 48,885","$4,532,457"
7 June 2022,Horsens,Denmark,CASA Arena Horsens,"25,000 / 25,000","$3,686,404"
9 June 2022,Arnhem,Netherlands,GelreDome,"32,623 / 32,623","$3,663,843"
11 June 2022,Paris,France,Paris La Défense Arena,"62,220 / 62,220","$9,846,099"
12 June 2022,Paris,France,Paris La Défense Arena,"62,220 / 62,220","$9,846,099"
15 June 2022,Norwich,England,Carrow Road,"22,989 / 22,989","$3,672,322"
17 June 2022,Liverpool,England,Anfield,"34,666 / 34,666","$4,659,375"
19 June 2022,Sunderland,England,Stadium of Light,"33,771 / 33,771","$4,609,018"
22 June 2022,Bristol,England,Ashton Gate,"42,090 / 42,090[t]","$5,906,700[t]"
24 June 2022[u],London,England,Hyde Park,—,—
26 June 2022,Bristol,England,Ashton Gate Stadium,—[t],—[t]
29 June 2022,Swansea,Wales,Swansea.com Stadium,"18,439 / 18,439","$2,468,309"
1 July 2022,Cork,Ireland,Páirc Uí Chaoimh,"31,821 / 31,821","$4,514,326"
3 July 2022,Watford,England,Vicarage Road,"38,357 / 38,357","$6,218,612"
4 July 2022,Watford,England,Vicarage Road,"38,357 / 38,357","$6,218,612"
North America,North America,North America,North America,North America,North America
15 July 2022,Philadelphia,United States,Citizens Bank Park,"38,870 / 38,870","$6,263,878"
18 July 2022,Detroit,United States,Comerica Park,"33,838 / 33,838","$4,267,268"
23 July 2022,East Rutherford,United States,MetLife Stadium,"99,827 / 99,827","$14,876,417"
24 July 2022,East Rutherford,United States,MetLife Stadium,"99,827 / 99,827","$14,876,417"
27 July 2022,Foxborough,United States,Gillette Stadium,"96,039 / 96,039","$16,681,506"
28 July 2022,Foxborough,United States,Gillette Stadium,"96,039 / 96,039","$16,681,506"
30 July 2022,Cleveland,United States,Progressive Field,"38,495 / 38,495","$5,812,888"
5 August 2022,Chicago,United States,Soldier Field,"48,413 / 48,413","$7,118,811"
7 September 2022,Toronto,Canada,Rogers Centre,"88,493 / 88,493","$12,758,371"
8 September 2022,Toronto,Canada,Rogers Centre,"88,493 / 88,493","$12,758,371"
10 September 2022,Syracuse,United States,JMA Wireless Dome,"37,231 / 37,231","$6,606,217"
13 September 2022,Charleston,United States,Credit One Stadium,"12,178 / 12,178","$2,800,325"
16 September 2022,Pittsburgh,United States,PNC Park,"38,058 / 38,058","$5,677,913"
18 September 2022,Charlotte,United States,Bank of America Stadium,"49,349 / 49,394","$7,442,573"
22 September 2022,Atlanta,United States,Mercedes-Benz Stadium,"47,156 / 47,156","$7,843,802"
24 September 2022,"Washington, D.C.",United States,Nationals Park,"39,434 / 39,434","$7,193,710"
30 September 2022,Arlington,United States,Globe Life Field,"38,316 / 38,316","$6,876,473"
2 October 2022,Nashville,United States,Nissan Stadium,"48,368 / 48,368","$7,700,419"
8 October 2022,Santa Clara,United States,Levi's Stadium,"77,554 / 77,554","$13,424,470"
9 October 2022,Santa Clara,United States,Levi's Stadium,"77,554 / 77,554","$13,424,470"
16 October 2022,Tacoma,United States,Tacoma Dome,"37,806 / 37,806","$8,301,505"
17 October 2022,Tacoma,United States,Tacoma Dome,"37,806 / 37,806","$8,301,505"
21 October 2022,Vancouver,Canada,BC Place,"78,700 / 78,700","$11,875,443"
22 October 2022,Vancouver,Canada,BC Place,"78,700 / 78,700","$11,875,443"
29 October 2022,San Antonio,United States,Alamodome,"49,240 / 49,240","$8,296,026"
1 November 2022,Las Vegas,United States,Allegiant Stadium,"45,792 / 45,792","$7,832,026"
4 November 2022,Denver,United States,Ball Arena,"12,949 / 12,949","$4,336,028"
9 November 2022,San Diego,United States,Petco Park,"38,828 / 38,828","$8,842,163"
11 November 2022,Phoenix,United States,Chase Field,"99,394 / 99,394","$15,682,863"
12 November 2022,Phoenix,United States,Chase Field,"99,394 / 99,394","$15,682,863"
17 November 2022,Los Angeles,United States,Dodger Stadium,"142,970 / 142,970","$23,462,993"
19 November 2022,Los Angeles,United States,Dodger Stadium,"142,970 / 142,970","$23,462,993"
20 November 2022[v],Los Angeles,United States,Dodger Stadium,"142,970 / 142,970","$23,462,993"
Oceania[52][53],Oceania[52][53],Oceania[52][53],Oceania[52][53],Oceania[52][53],Oceania[52][53]
8 January 2023,Newcastle,Australia,McDonald Jones Stadium,"47,230 / 47,230","$8,424,664"
10 January 2023,Newcastle,Australia,McDonald Jones Stadium,"47,230 / 47,230","$8,424,664"
13 January 2023,Melbourne,Australia,AAMI Park,"58,129 / 58,129","$10,282,598"
14 January 2023,Melbourne,Australia,AAMI Park,"58,129 / 58,129","$10,282,598"
17 January 2023,Sydney,Australia,Allianz Stadium,"65,327 / 65,327","$11,274,550"
18 January 2023,Sydney,Australia,Allianz Stadium,"65,327 / 65,327","$11,274,550"
21 January 2023,Brisbane,Australia,Suncorp Stadium,"43,500 / 43,500","$6,950,826"
24 January 2023,Christchurch,New Zealand,Orangetheory Stadium,"27,867 / 27,867","$3,964,296"
Europe[w],Europe[w],Europe[w],Europe[w],Europe[w],Europe[w]
23 March 2023,Liverpool,England,M&S Bank Arena,"18,730 / 18,730","$3,138,562"
24 March 2023,Liverpool,England,M&S Bank Arena,"18,730 / 18,730","$3,138,562"
26 March 2023,Birmingham,England,Resorts World Arena,"12,159 / 12,159","$2,077,333"
28 March 2023,Dublin,Ireland,3Arena,"17,030 / 17,030","$3,309,770"
29 March 2023,Dublin,Ireland,3Arena,"17,030 / 17,030","$3,309,770"
31 March 2023,Belfast,Northern Ireland,SSE Arena,"8,224 / 8,224","$1,565,824"
2 April 2023,London,England,The O2 Arena,"148,467 / 148,467","$25,256,423"
4 April 2023,London,England,The O2 Arena,"148,467 / 148,467","$25,256,423"
5 April 2023,London,England,The O2 Arena,"148,467 / 148,467","$25,256,423"
8 April 2023,London,England,The O2 Arena,"148,467 / 148,467","$25,256,423"
9 April 2023,London,England,The O2 Arena,"148,467 / 148,467","$25,256,423"
12 April 2023,London,England,The O2 Arena,"148,467 / 148,467","$25,256,423"
13 April 2023,London,England,The O2 Arena,"148,467 / 148,467","$25,256,423"
16 April 2023,London,England,The O2 Arena,"148,467 / 148,467","$25,256,423"
17 April 2023,London,England,The O2 Arena,"148,467 / 148,467","$25,256,423"
27 April 2023,Munich,Germany,Olympiahalle,—,—
2 May 2023,Hamburg,Germany,Barclays Arena,—,—
4 May 2023,Hamburg,Germany,Barclays Arena,—,—
5 May 2023,Hamburg,Germany,Barclays Arena,—,—
8 May 2023,Berlin,Germany,Mercedes-Benz Arena,—,—
10 May 2023,Berlin,Germany,Mercedes-Benz Arena,—,—
11 May 2023,Berlin,Germany,Mercedes-Benz Arena,—,—
16 May 2023,Cologne,Germany,Lanxess Arena,—,—
18 May 2023,Cologne,Germany,Lanxess Arena,—,—
19 May 2023,Cologne,Germany,Lanxess Arena,—,—
22 May 2023,Barcelona,Spain,Palau Sant Jordi,—,—
23 May 2023,Barcelona,Spain,Palau Sant Jordi,—,—
27 May 2023,Antwerp,Belgium,Sportpaleis,—,—
28 May 2023,Antwerp,Belgium,Sportpaleis,—,—
30 May 2023,London,England,The O2 Arena,—,—
31 May 2023,Manchester,England,AO Arena,—,—
2 June 2023,Manchester,England,AO Arena,—,—
3 June 2023,Manchester,England,AO Arena,—,—
6 June 2023,Leeds,England,First Direct Arena,—,—
8 June 2023,Birmingham,England,Utilita Arena Birmingham,—,—
10 June 2023,Birmingham,England,Utilita Arena Birmingham,—,—
