Date,City,Country,Venue,Opening acts,Attendance (tickets sold / available),Revenue
North America[19][66][68],North America[19][66][68],North America[19][66][68],North America[19][66][68],North America[19][66][68],North America[19][66][68],North America[19][66][68]
November 9,Uniondale,United States,Nassau Veterans Memorial Coliseum,Social House,"11,464 / 11,464","$1,580,315"
November 12,Brooklyn,United States,Barclays Center,Social House,"14,151 / 14,151","$1,982,444"
November 15,Charlottesville,United States,John Paul Jones Arena,Social House,"9,940 / 9,940","$1,102,879"
November 19,Atlanta,United States,State Farm Arena,Social House,"10,599 / 10,599","$1,121,970"
November 22,Raleigh,United States,PNC Arena,Social House,"13,041 / 13,041","$1,385,720"
November 24[n],Tampa,United States,Amalie Arena,Social House,"14,067 / 14,067","$1,430,092"
November 25[o],Orlando,United States,Amway Center,Social House,"13,112 / 13,112","$1,431,037"
November 27,Miami,United States,American Airlines Arena,Social House,"12,100 / 12,100","$1,411,818"
December 1,Jacksonville,United States,VyStar Veterans Memorial Arena,Social House,"10,560 / 10,560","$965,794"
December 3,Columbia,United States,Colonial Life Arena,Social House,"11,984 / 11,984","$1,104,939"
December 5,Nashville,United States,Bridgestone Arena,Social House,"10,471 / 10,471","$1,140,202"
December 7,Memphis,United States,FedExForum,Social House,"11,826 / 11,826","$1,009,205"
December 9,Dallas,United States,American Airlines Center,Social House,"13,834 / 13,834","$1,645,800"
December 12,Phoenix,United States,Talking Stick Resort Arena,Social House,"12,951 / 12,951","$1,465,817"
December 13,Anaheim,United States,Honda Center,Social House,"12,575 / 12,575","$1,686,682"
December 15,Las Vegas,United States,MGM Grand Garden Arena,Social House,"10,377 / 10,377","$1,210,935"
December 17,San Francisco,United States,Chase Center,Social House,"22,990 / 22,990","$3,065,557"
December 18,San Francisco,United States,Chase Center,Social House,"22,990 / 22,990","$3,065,557"
December 21,Inglewood,United States,The Forum,Social House,"25,810 / 25,810","$3,383,378"
December 22,Inglewood,United States,The Forum,Social House,"25,810 / 25,810","$3,383,378"
Total,Total,Total,Total,Total,"1,329,061 / 1,336,015 (99.47%)","$145,895,695"
