Date,City,Country,Venue,Opening act,Attendance,Revenue
"March 30, 2013",Vienna,Austria,Wiener Stadthalle,—,—,—
"March 31, 2013",Berlin,Germany,O2 World Berlin,Neon Dogs,"9,475 / 13,289","$810,632"
"April 2, 2013",Hamburg,Germany,O2 World Hamburg,Neon Dogs,"9,204 / 12,984","$871,682"
"April 3, 2013",Frankfurt,Germany,Festhalle Frankfurt,—,—,—
"April 5, 2013",Dortmund,Germany,Westfalenhallen,—,—,—
"April 6, 2013",Cologne,Germany,Lanxess Arena,—,—,—
"April 8, 2013",Strasbourg,France,Zénith de Strasbourg,—,—,—
"April 10, 2013",Antwerp,Belgium,Sportpaleis,3M8S,"35,751 / 36,939","$2,598,300"
"April 11, 2013",Antwerp,Belgium,Sportpaleis,3M8S,"35,751 / 36,939","$2,598,300"
"April 13, 2013",Arnhem,Netherlands,GelreDome XS,MainStreet,—,—
"April 16, 2013",Oslo,Norway,Telenor Arena,—,"69,246 / 71,091","$7,887,802"
"April 17, 2013",Oslo,Norway,Telenor Arena,—,"69,246 / 71,091","$7,887,802"
"April 18, 2013",Oslo,Norway,Telenor Arena,—,"69,246 / 71,091","$7,887,802"
"April 20, 2013",Copenhagen,Denmark,Telia Parken,—,—,—
"April 22, 2013",Stockholm,Sweden,Ericsson Globe,—,—,—
"April 23, 2013",Stockholm,Sweden,Ericsson Globe,—,—,—
"April 24, 2013",Stockholm,Sweden,Ericsson Globe,—,—,—
"April 26, 2013",Helsinki,Finland,Hartwall Arena,—,—,—
"April 28, 2013",Saint Petersburg,Russia,SKK Peterburgsky,—,—,—
"April 30, 2013",Moscow,Russia,Olimpiyskiy,—,—,—
"May 2, 2013",Istanbul,Turkey,İTÜ Stadyumu,—,—,—
Asia[30],Asia[30],Asia[30],Asia[30],Asia[30],Asia[30],Asia[30]
"May 4, 2013",Dubai,United Arab Emirates,The Sevens Stadium,—,"28,544 / 46,850","$7,773,419"
"May 5, 2013",Dubai,United Arab Emirates,The Sevens Stadium,—,"28,544 / 46,850","$7,773,419"
Africa[31],Africa[31],Africa[31],Africa[31],Africa[31],Africa[31],Africa[31]
"May 8, 2013",Cape Town,South Africa,Cape Town Stadium,—,—,—
"May 12, 2013",Johannesburg,South Africa,FNB Stadium,—,—,—
North America[27][32],North America[27][32],North America[27][32],North America[27][32],North America[27][32],North America[27][32],North America[27][32]
"June 22, 2013",San Diego,United States,Valley View Casino Center,Hot Chelle Rae Mike Posner,"10,832 / 10,832","$915,852"
"June 24, 2013",Los Angeles,United States,Staples Center,Hot Chelle Rae Mike Posner,"27,994 / 27,994","$2,307,566"
"June 25, 2013",Los Angeles,United States,Staples Center,Hot Chelle Rae Mike Posner,"27,994 / 27,994","$2,307,566"
"June 26, 2013",San Jose,United States,HP Pavilion,Hot Chelle Rae Mike Posner,"12,996 / 12,996","$1,082,050"
"June 28, 2013",Las Vegas,United States,MGM Grand Garden Arena,Hot Chelle Rae Mike Posner,"13,362 / 13,362","$1,103,893"
"June 30, 2013",Denver,United States,Pepsi Center,Hot Chelle Rae Mike Posner,"12,885 / 12,885","$1,022,453"
"July 2, 2013",Oklahoma City,United States,Chesapeake Energy Arena,Hot Chelle Rae Mike Posner,"12,209 / 12,209","$973,740"
"July 3, 2013",Dallas,United States,American Airlines Center,Hot Chelle Rae Mike Posner,"13,945 / 13,945","$1,141,555"
"July 6, 2013",Omaha,United States,CenturyLink Center,Hot Chelle Rae Mike Posner,"14,109 / 14,109","$1,090,542"
"July 7, 2013",Des Moines,United States,Wells Fargo Arena,Hot Chelle Rae Mike Posner,"13,108 / 13,108","$1,040,329"
"July 9, 2013",Chicago,United States,United Center,Hot Chelle Rae Mike Posner,"14,574 / 14,574","$1,198,621"
"July 10, 2013",Indianapolis,United States,Bankers Life Fieldhouse,Hot Chelle Rae Mike Posner,"14,088 / 14,088","$1,091,325"
"July 12, 2013",Columbus,United States,Nationwide Arena,Hot Chelle Rae Mike Posner,"14,002 / 14,002","$1,101,544"
"July 13, 2013",Cleveland,United States,Quicken Loans Arena,Hot Chelle Rae Mike Posner,"15,084 / 15,084","$1,148,356"
"July 15, 2013",Buffalo,United States,First Niagara Center,Hot Chelle Rae Mike Posner,"14,789 / 14,789","$1,148,023"
"July 17, 2013",Philadelphia,United States,Wells Fargo Center,Hot Chelle Rae Mike Posner,"15,065 / 15,065","$1,243,009"
"July 18, 2013",Hartford,United States,XL Center,Hot Chelle Rae Mike Posner,"12,404 / 12,404","$1,032,636"
"July 20, 2013",Boston,United States,TD Garden,Hot Chelle Rae Mike Posner,"13,450 / 13,450","$1,123,874"
"July 23, 2013",Ottawa,Canada,Scotiabank Place,Hot Chelle Rae Mike Posner,"13,741 / 13,741","$1,102,540"
"July 25, 2013",Toronto,Canada,Air Canada Centre,Hot Chelle Rae Mike Posner,"29,153 / 29,153","$2,398,100"
"July 26, 2013",Toronto,Canada,Air Canada Centre,Hot Chelle Rae Mike Posner,"29,153 / 29,153","$2,398,100"
"July 28, 2013",Detroit,United States,Joe Louis Arena,Hot Chelle Rae Mike Posner,"15,148 / 15,148","$1,208,287"
"July 30, 2013",Newark,United States,Prudential Center,Hot Chelle Rae Mike Posner,"26,824 / 26,824","$2,211,502"
"July 31, 2013",Newark,United States,Prudential Center,Hot Chelle Rae Mike Posner,"26,824 / 26,824","$2,211,502"
"August 2, 2013",Brooklyn,United States,Barclays Center,Hot Chelle Rae Mike Posner,"14,587 / 14,587","$1,207,640"
"August 3, 2013","Washington, D.C.",United States,Verizon Center,Hot Chelle Rae Mike Posner,"14,647 / 14,647","$1,203,291"
"August 5, 2013",Columbia,United States,Colonial Life Arena,Hot Chelle Rae Mike Posner,"12,540 / 12,540","$996,246"
"August 7, 2013",Jacksonville,United States,Jacksonville Veterans Memorial Arena,Ariana Grande Cody Simpson,"11,526 / 11,526","$936,990"
"August 8, 2013",Tampa,United States,Tampa Bay Times Forum,Ariana Grande Cody Simpson,"14,099 / 14,099","$1,101,576"
"August 10, 2013",Atlanta,United States,Philips Arena,Ariana Grande Cody Simpson,"12,407 / 12,407","$1,019,885"
Asia[33][34],Asia[33][34],Asia[33][34],Asia[33][34],Asia[33][34],Asia[33][34],Asia[33][34]
"September 23, 2013[a]",Marina Bay,Singapore,Marina Bay Street Circuit,—,,—
"September 26, 2013",Bangkok,Thailand,Challenger Hall 3,—,"10,000 / 10,000",—
"September 29, 2013",Beijing,China,MasterCard Center,—,—,
"October 2, 2013",Dalian,China,Dalian Arena,—,—,
"October 5, 2013",Shanghai,China,Mercedes-Benz Arena,—,—,
"October 7, 2013",Saitama,Japan,Saitama Super Arena,—,—,
"October 10, 2013",Seoul,South Korea,Olympic Gymnastics Arena,—,—,
"October 12, 2013",Cotai,Macau,Cotai Arena,—,—,
Latin America[36][37],Latin America[36][37],Latin America[36][37],Latin America[36][37],Latin America[36][37],Latin America[36][37],Latin America[36][37]
"October 19, 2013",San Juan,Puerto Rico,Coliseo de Puerto Rico,—,"13,674 / 13,674","$1,707,044"
"October 22, 2013",Santo Domingo,Dominican Republic,Estadio Olímpico Félix Sánchez,—,"11,321 / 21,850","$941,883"
"October 24, 2013",Panama City,Panama,Estadio Rommel Fernández,—,—,—
"October 26, 2013",Guatemala City,Guatemala,Estadio Cementos Progreso,—,"8,851 / 18,500","$941,883"
"October 29, 2013",Bogotá,Colombia,Estadio El Campín,Paty Cantú,—,—
"October 31, 2013",Quito,Ecuador,Estadio Olímpico Atahualpa,—,"18,962 / 27,000","$2,481,840"
"November 2, 2013",São Paulo,Brazil,Arena Anhembi,P9,"31,922 / 33,374","$3,266,480"
"November 3, 2013",Rio de Janeiro,Brazil,Praça da Apoteose,—,"22,598 / 33,199","$2,460,450"
"November 6, 2013",Asunción,Paraguay,Hipódromo de Asunción,—,"11,325 / 22,780","$1,228,090"
"November 8, 2013[b]",Córdoba,Argentina,Estadio Mario Alberto Kempes,Cody Simpson Carly Rae Jepsen Owl City,"23,565 / 34,328","$2,633,870"
"November 9, 2013[b]",Buenos Aires,Argentina,River Plate Stadium,Cody Simpson Carly Rae Jepsen Owl City,—,—
"November 12, 2013",Santiago,Chile,Estadio Nacional,Carly Rae Jepsen Owl City,"47,969 / 52,300","$4,948,320"
"November 18, 2013",Mexico City,Mexico,Foro Sol,—,"98,358 / 107,746","$6,999,860"
"November 19, 2013",Mexico City,Mexico,Foro Sol,—,"98,358 / 107,746","$6,999,860"
Oceania[39][40][41],Oceania[39][40][41],Oceania[39][40][41],Oceania[39][40][41],Oceania[39][40][41],Oceania[39][40][41],Oceania[39][40][41]
"November 23, 2013",Auckland,New Zealand,Vector Arena,Cody Simpson,—,—
"November 26, 2013",Brisbane,Australia,Brisbane Entertainment Centre,Cody Simpson,"13,263 / 19,960","$1,655,360"
"November 27, 2013",Brisbane,Australia,Brisbane Entertainment Centre,Cody Simpson,"13,263 / 19,960","$1,655,360"
"November 29, 2013",Sydney,Australia,Allphones Arena,Cody Simpson,"22,911 / 24,566","$2,946,530"
"November 30, 2013",Sydney,Australia,Allphones Arena,Cody Simpson,"22,911 / 24,566","$2,946,530"
"December 2, 2013",Melbourne,Australia,Rod Laver Arena,Cody Simpson,"22,543 / 23,925","$2,706,030"
"December 3, 2013",Melbourne,Australia,Rod Laver Arena,Cody Simpson,"22,543 / 23,925","$2,706,030"
"December 5, 2013",Adelaide,Australia,Adelaide Entertainment Arena,Cody Simpson,—,—
"December 8, 2013",Perth,Australia,Perth Arena,Cody Simpson,"10,732 / 11,087","$1,376,970"
Total,Total,Total,Total,Total,"1,694,897 / 1,771,355 (96%)","$149,785,753"
