Date,City,Country,Venue,Tickets sold / Available,Gross revenue
"September 17, 2010",Saskatoon,Canada,Credit Union Centre,"13,059 / 13,059 (100%)","$349,066[7]"
"September 19, 2010",Edmonton,Canada,Rexall Place,"13,874 / 13,874 (100%)","$280,140[7]"
"September 20, 2010",Calgary,Canada,Pengrowth Saddledome,"13,893 / 13,893 (100%)","$508,161[7]"
"October 8, 2010",Honolulu,United States,Blaisdell Arena,"15,721 / 15,721 (100%)","$852,809[7]"
"October 9, 2010",Honolulu,United States,Blaisdell Arena,"15,721 / 15,721 (100%)","$852,809[7]"
"October 19, 2010",Vancouver,Canada,Rogers Arena,"14,899 / 14,899 (100%)","$269,285[7]"
"October 22, 2010",Sacramento,United States,ARCO Arena,"9,498 / 13,498 (70%)","$285,272[7]"
"October 24, 2010",Ontario,United States,Citizens Business Bank Arena,"8,482 / 8,482 (100%)","$193,283[7]"
"October 25, 2010",Los Angeles,United States,Staples Center,"13,572 / 13,572 (100%)","$535,512[7]"
"October 27, 2010",Anaheim,United States,Honda Center,"11,882 / 11,882 (100%)","$490,781[7]"
"October 28, 2010",San Jose,United States,HP Pavilion,"11,605 / 12,411 (94%)","$393,838[7]"
"October 30, 2010",San Diego,United States,Valley View Casino Center,"11,424 / 11,424 (100%)","$267,494[7]"
"November 3, 2010",Oklahoma City,United States,Oklahoma City Arena,"11,702 / 12,316 (95%)","$274,602[7]"
"November 5, 2010",San Antonio,United States,AT&T Center,"14,663 / 14,663 (100%)","$318,098[7]"
"November 6, 2010",Houston,United States,Toyota Center,"13,352 / 13,352 (100%)","$467,082[7]"
"November 8, 2010",St. Louis,United States,Scottrade Center,"14,471 / 14,471 (100%)","$207,896[7]"
"November 10, 2010",Louisville,United States,KFC Yum! Center,"15,943 / 15,943 (100%)","$374,638[7]"
"November 11, 2010",Cleveland,United States,Wolstein Center,"10,431 / 10,616 (98%)","$229,266[7]"
"November 13, 2010",Norfolk,United States,Norfolk Scope,"9,286 / 9,286 (100%)","$263,586[7]"
"November 14, 2010",Philadelphia,United States,Wells Fargo Center,"15,614 / 15,614 (100%)","$613,257[7]"
"November 16, 2010",Boston,United States,TD Garden,"14,080 / 14,080 (100%)","$543,180[7]"
"November 17, 2010",East Rutherford,United States,Izod Center,"16,394 / 16,394 (100%)","$657,502[7]"
"November 20, 2010",Atlantic City,United States,Boardwalk Hall,"13,481 / 13,481 (100%)","$503,831[7]"
"November 22, 2010",Montreal,Canada,Bell Centre,"16,260 / 16,260 (100%)","$412,580[7]"
"November 23, 2010",Toronto,Canada,Air Canada Centre,"16,639 / 16,639 (100%)","$377,432[7]"
"December 9, 2010",Manchester,United States,Verizon Wireless Arena,"9,300 / 9,300 (100%)","$432,290[7]"
"December 13, 2010",Pittsburgh,United States,Consol Energy Center,"13,957 / 13,957 (100%)","$804,568[7]"
"December 15, 2010",Greensboro,United States,Greensboro Coliseum,"14,603 / 14,603 (100%)","$700,618[7]"
"December 16, 2010",Greenville,United States,BI-LO Center,"11,769 / 11,769 (100%)","$577,074[7]"
"December 18, 2010",Miami,United States,American Airlines Arena,"14,167 / 14,167 (100%)","$693,312[7]"
"December 19, 2010",Tampa,United States,St. Pete Times Forum,"14,270 / 14,270 (100%)","$689,300[7]"
"December 21, 2010",Birmingham,United States,BJCC Arena,"13,773/ 13,773 (100%)","$667,628[7]"
"December 23, 2010",Atlanta,United States,Philips Arena,"14,045 / 14,045 (100%)","$823,881[7]"
Europe,Europe,Europe,Europe,Europe,Europe
"March 4, 2011",Birmingham,England,National Indoor Arena,—,—
"March 5, 2011",Birmingham,England,National Indoor Arena,—,—
"March 8, 2011",Dublin,Ireland,The O2,—,—
"March 11, 2011",Liverpool,England,Echo Arena,—,—
"March 12, 2011",Newcastle,England,Metro Radio Arena,—,—
"March 14, 2011",London,England,The O2 Arena,"16,020 / 16,020 (100%)","$881,519[7]"
"March 21, 2011",Manchester,England,Manchester Evening News Arena,—,—
"March 23, 2011",Sheffield,England,Motorpoint Arena,—,—
"March 24, 2011",Nottingham,England,Trent FM Arena,—,—
"March 26, 2011",Oberhausen,Germany,König Pilsener Arena,—,—
"March 27, 2011",Rotterdam,Netherlands,Sportpaleis van Ahoy,—,—
"March 29, 2011",Paris,France,Palais Omnisports de Paris-Bercy,—,—
"March 30, 2011",Antwerp,Belgium,Sportpaleis,"13,536 / 13,536 (100%)","$796,566[7]"
"April 1, 2011",Herning,Denmark,Jyske Bank Boxen,—,—
"April 2, 2011",Berlin,Germany,O2 World,—,—
"April 5, 2011",Madrid,Spain,Palacio de Deportes,—,—
"April 6, 2011",Barcelona,Spain,Palau Sant Jordi,—,—
"April 8, 2011",Zürich,Switzerland,Hallenstadion,—,—
"April 9, 2011",Milan,Italy,Mediolanum Forum,—,—
Asia,Asia,Asia,Asia,Asia,Asia
"April 14, 2011",Tel Aviv,Israel,Yarkon Park,—,—
"April 19, 2011",Kallang,Singapore,Singapore Indoor Stadium,—,—
"April 21, 2011",Kuala Lumpur,Malaysia,Stadium Merdeka,—,—
"April 23, 2011",Jakarta,Indonesia,Sentul Auditorium,—,—
Oceania[8],Oceania[8],Oceania[8],Oceania[8],Oceania[8],Oceania[8]
"April 26, 2011",Brisbane,Australia,Brisbane Entertainment Centre,"11,065 / 11,065 (100%)","$651,750[7]"
"April 28, 2011",Sydney,Australia,Acer Arena,"29,481 / 29,481 (100%)","$692,460[7]"
"April 29, 2011",Sydney,Australia,Acer Arena,"29,481 / 29,481 (100%)","$692,460[7]"
"May 2, 2011",Melbourne,Australia,Rod Laver Arena,"25,538 / 25,538 (100%)","$807,360[7]"
"May 3, 2011",Melbourne,Australia,Rod Laver Arena,"25,538 / 25,538 (100%)","$807,360[7]"
"May 5, 2011",Adelaide,Australia,Adelaide Entertainment Arena,"8,510 / 8,510 (100%)","$914,907"
"May 7, 2011",Perth,Australia,Burswood Dome,"7,162 / 7,162 (100%)","$1,680,197"
Asia,Asia,Asia,Asia,Asia,Asia
"May 10, 2011",Manila,Philippines,SM Mall of Asia Concert Grounds,—,—
"May 13, 2011",Hong Kong,Hong Kong,AsiaWorld–Arena,—,—
"May 15, 2011",Taipei,Taiwan,Taipei Arena,—,—
"May 18, 2011",Osaka,Japan,Zepp Osaka,—,—
"May 19, 2011",Tokyo,Japan,Nippon Budokan,—,—
Latin America,Latin America,Latin America,Latin America,Latin America,Latin America
"September 30, 2011",Monterrey,Mexico,Arena Monterrey,—,—
"October 1, 2011",Mexico City,Mexico,Foro Sol,"94,449 / 106,028 (89%)","$6,027,190[7]"
"October 2, 2011",Mexico City,Mexico,Foro Sol,"94,449 / 106,028 (89%)","$6,027,190[7]"
"October 5, 2011",Rio de Janeiro,Brazil,Estádio Olímpico João Havelange,"46,533 / 57,189 (81%)","$518,920[7]"
"October 6, 2011",Rio de Janeiro,Brazil,Estádio Olímpico João Havelange,"46,533 / 57,189 (81%)","$518,920[7]"
"October 8, 2011[F]",São Paulo,Brazil,Estádio do Morumbi,"71,683 / 78,910 (91%)","$237,520[7]"
"October 9, 2011[G]",São Paulo,Brazil,Estádio do Morumbi,"71,683 / 78,910 (91%)","$237,520[7]"
"October 10, 2011",Porto Alegre,Brazil,Estádio Beira-Rio,"20,698 / 48,675 (43%)","$462,800[7]"
"October 12, 2011",Buenos Aires,Argentina,Estadio River Plate,"66,386 / 80,386 (82%)","$309,000[7]"
"October 13, 2011",Buenos Aires,Argentina,Estadio River Plate,"66,386 / 80,386 (82%)","$309,000[7]"
"October 15, 2011",Santiago,Chile,Estadio Nacional de Chile,"71,457 / 73,000 (90%)","$302,000[7]"
"October 17, 2011",Lima,Peru,Estadio Nacional de Lima,"18,923 / 33,769 (55%)","$216,450[7]"
"October 19, 2011",Caracas,Venezuela,Estadio de Fútbol USB,"13,039 / 15,591 (83%)","$287,670[7]"
TOTAL,TOTAL,TOTAL,TOTAL,"798,690 / 818,197 (98%)","$53,341,886"
