Date (2017),City,Country,Venue,Opening acts,Attendance,Revenue
May 8,Stockholm,Sweden,Friends Arena,Victoria Monét Bia,"14,106 / 14,106","$995,461"
May 10,Oslo,Norway,Telenor Arena,Victoria Monét Bia,"12,129 / 12,412","$752,062"
May 12,Herning,Denmark,Jyske Bank Boxen,Victoria Monét Bia,"9,111 / 14,578","$655,222"
May 14,Amsterdam,Netherlands,Ziggo Dome,Victoria Monét Bia,"31,801 / 31,815","$1,638,610"
May 16,Amsterdam,Netherlands,Ziggo Dome,Victoria Monét Bia,"31,801 / 31,815","$1,638,610"
May 18,Birmingham,England,Genting Arena,Victoria Monét Bia,"11,554 / 12,036","$738,618"
May 20,Dublin,Ireland,3Arena,Victoria Monét Bia,"12,595 / 12,804","$792,166"
May 22,Manchester,England,Manchester Arena,Victoria Monét Bia,"14,158 / 14,218","$883,825"
June 4 [c],Manchester,England,Emirates Old Trafford,—,—,—
June 7,Paris,France,AccorHotels Arena,KnowleDJ Victoria Monét,"15,121 / 15,442","$1,020,450"
June 9,Lyon,France,Halle Tony Garnier,KnowleDJ Victoria Monét,"9,551 / 9,833","$518,788"
June 11,Lisbon,Portugal,MEO Arena,KnowleDJ Victoria Monét,"13,573 / 16,239","$755,290"
June 13,Barcelona,Spain,Palau Sant Jordi,KnowleDJ Victoria Monét,"11,483 / 16,273","$917,766"
June 15,Rome,Italy,PalaLottomatica,KnowleDJ Victoria Monét,"7,287 / 7,558","$362,100"
June 17,Turin,Italy,Pala Alpitour,KnowleDJ Victoria Monét,"11,211 / 11,249","$740,175"
Latin America[38][39][40][41][42],Latin America[38][39][40][41][42],Latin America[38][39][40][41][42],Latin America[38][39][40][41][42],Latin America[38][39][40][41][42],Latin America[38][39][40][41][42],Latin America[38][39][40][41][42]
June 29,Rio de Janeiro,Brazil,Jeunesse Arena,DJ Ronaldinho Sabrina Carpenter,"10,337 / 12,370","$731,303"
July 1,São Paulo,Brazil,Allianz Parque,DJ Ronaldinho Sabrina Carpenter,"24,717 / 27,300","$1,605,750"
July 3,Santiago,Chile,Movistar Arena,Victoria Monét,"12,845 / 13,442","$1,240,230"
July 5,Buenos Aires,Argentina,DirecTV Arena,Victoria Monét Oriana Sabatini,"8,623 / 8,727","$764,260"
July 9,Alajuela,Costa Rica,Coca-Cola Amphitheater,Échele Miel Fátima Pinto Victoria Monét CNCO,"11,141 / 11,141","$776,744"
July 12,Mexico City,Mexico,Palacio de los Deportes,Victoria Monét,"36,284 / 40,278","$2,078,842"
July 13,Mexico City,Mexico,Palacio de los Deportes,Victoria Monét,"36,284 / 40,278","$2,078,842"
Asia[43],Asia[43],Asia[43],Asia[43],Asia[43],Asia[43],Asia[43]
August 10,Chiba,Japan,Makuhari Event Hall,Beverly,"52,035 / 59,817","$6,525,600"
August 12,Chiba,Japan,Makuhari Event Hall,Little Glee Monster,"52,035 / 59,817","$6,525,600"
August 13,Chiba,Japan,Makuhari Event Hall,Little Glee Monster,"52,035 / 59,817","$6,525,600"
August 15,Seoul,South Korea,Gocheok Sky Dome,—,"19,422 / 20,008","$1,876,580"
August 17,Bangkok,Thailand,Impact Arena,—,"9,308 / 9,694","$1,283,740"
August 21,Manila,Philippines,Mall of Asia Arena,—,"9,607 / 10,400","$1,199,770"
August 26,Beijing,China,LeSports Center,—,"7,997 / 8,023","$1,099,220"
August 28,Shanghai,China,Mercedes-Benz Arena,—,"11,225 / 11,225","$1,391,210"
August 30,Guangzhou,China,Guangzhou Sports Arena,—,"10,287 / 10,792","$1,247,490"
Oceania[44],Oceania[44],Oceania[44],Oceania[44],Oceania[44],Oceania[44],Oceania[44]
September 2,Auckland,New Zealand,Spark Arena,—,"10,606 / 11,593","$954,738"
September 4,Melbourne,Australia,Rod Laver Arena,—,"23,809 / 24,694","$2,420,480"
September 5,Melbourne,Australia,Rod Laver Arena,—,"23,809 / 24,694","$2,420,480"
September 8,Sydney,Australia,ICC Sydney Theatre,—,"16,505 / 16,580","$1,625,830"
September 9,Sydney,Australia,ICC Sydney Theatre,—,"16,505 / 16,580","$1,625,830"
September 12,Brisbane,Australia,Brisbane Entertainment Centre,—,"10,604 / 10,604","$1,038,680"
Asia[43],Asia[43],Asia[43],Asia[43],Asia[43],Asia[43],Asia[43]
September 16 [d],Singapore,Singapore,Marina Bay Street Circuit,—,—,—
September 19,Taipei,Taiwan,Taipei Arena,—,"11,570 / 12,673","$1,375,330"
September 21,Hong Kong,Hong Kong,AsiaWorld–Arena,—,"7,740 / 8,796","$1,006,410"
Total,Total,Total,Total,Total,"878,016 / 984,130 (89%)","$71,038,801[1]"
